Title,Price,Rating,Colors,Size,Gender,timestamp
T-shirt 2,163440000.0,3.9,3,M,Women,2025-05-21 15:28:37.814806+00:00
Hoodie 3,795008000.0,4.8,3,L,Unisex,2025-05-21 15:28:37.814806+00:00
Pants 4,747696000.0,3.3,3,XL,Men,2025-05-21 15:28:37.815807+00:00
Outerwear 5,514544000.0,3.5,3,XXL,Women,2025-05-21 15:28:37.815807+00:00
Jacket 6,245392000.0,3.3,3,S,Unisex,2025-05-21 15:28:37.818808+00:00
Crewneck 7,689200000.0,4.3,3,M,Men,2025-05-21 15:28:37.818808+00:00
T-shirt 8,780256000.0,3.1,3,L,Women,2025-05-21 15:28:37.819807+00:00
Hoodie 9,397216000.0,3.2,3,XL,Unisex,2025-05-21 15:28:37.820808+00:00
Pants 10,310016000.0,4.2,3,XXL,Men,2025-05-21 15:28:37.821811+00:00
Jacket 12,852784000.0,3.9,3,M,Unisex,2025-05-21 15:28:37.822810+00:00
Crewneck 13,544720000.0,3.2,3,L,Men,2025-05-21 15:28:37.822810+00:00
T-shirt 14,324880000.0,3.8,3,XL,Women,2025-05-21 15:28:37.829825+00:00
Hoodie 15,218416000.0,3.6,3,XXL,Unisex,2025-05-21 15:28:37.830810+00:00
Outerwear 17,84160000.0,3.8,3,M,Women,2025-05-21 15:28:37.831812+00:00
Jacket 18,550000000.0,3.8,3,L,Unisex,2025-05-21 15:28:37.831812+00:00
Crewneck 19,130896000.0,3.6,3,XL,Men,2025-05-21 15:28:37.834811+00:00
T-shirt 20,132560000.0,3.4,3,XXL,Women,2025-05-21 15:28:37.834811+00:00
Pants 22,431968000.0,4.9,3,M,Men,2025-05-21 15:28:38.066871+00:00
Outerwear 23,465584000.0,3.7,3,L,Women,2025-05-21 15:28:38.067869+00:00
Jacket 24,822352000.0,3.9,3,XL,Unisex,2025-05-21 15:28:38.067869+00:00
Crewneck 25,832256000.0,3.3,3,XXL,Men,2025-05-21 15:28:38.067869+00:00
T-shirt 26,729232000.0,4.6,3,S,Women,2025-05-21 15:28:38.068868+00:00
